Rank,Player,Unnamed: 2,Country,Team,Goals (Penalty)
,Antonio Rüdiger,,Germany,Chelsea FC,1 (0)
,Fabian Schär,,Switzerland,Newcastle United,1 (1)
,Luke Shaw,,England,Manchester United,1 (0)
,Jonjo Shelvey,,England,Newcastle United,1 (0)
,Çağlar Söyüncü,,Turkey,Leicester City,1 (0)
,Pascal Struijk,,Netherlands,Leeds United,1 (0)
,James Tarkowski,,England,Burnley FC,1 (0)
,Nathan Tella,,England,Southampton FC,1 (0)
,Thiago,,Spain,Liverpool FC,1 (0)
,Luke Thomas,,England,Leicester City,1 (0)
,Kieran Tierney,,Scotland,Arsenal FC,1 (0)
,Andros Townsend,,England,Crystal Palace,1 (0)
,Donny van de Beek,,Netherlands,Manchester United,1 (0)
,Virgil van Dijk,,Netherlands,Liverpool FC,1 (0)
,Joël Veltman,,Netherlands,Brighton & Hove Albion,1 (0)
,Kyle Walker,,England,Manchester City,1 (0)
,Adam Webster,,England,Brighton & Hove Albion,1 (0)
,Willian,,Brazil,Arsenal FC,1 (0)
,Willian José,,Brazil,Wolverhampton Wanderers,1 (0)
,Granit Xhaka,,Switzerland,Arsenal FC,1 (0)
